id,No., POKÉMON,FORM, Type 1,Type 2,BST,HP,ATK,DEF,SPATK,SPDEF,SPD,BASE EXP,EXP TYPE,EGG GROUP 1,EGG GROUP 2,PHASE,EVO LVL,EVO 1,EVO 2,EVO 3,EVO 4,EVO 5,EVO 6,EVO 7,EVO 8,Merged Doc ID - scr_dex_2,Merged Doc URL - scr_dex_2,Link to merged Doc - scr_dex_2,Document Merge Status - scr_dex_2,Merged Doc ID - Job (_1559084822295_UPGRADE),Merged Doc URL - Job (_1559084822295_UPGRADE),Link to merged Doc - Job (_1559084822295_UPGRADE),Document Merge Status - Job (_1559084822295_UPGRADE),Merged Doc ID - scr_dex (Run),Merged Doc URL - scr_dex (Run),Link to merged Doc - scr_dex (Run),Document Merge Status - scr_dex (Run)
11,7,SQUIRTLE,,Water,,314,44,48,65,50,64,43,63,,Water 1,Monster,1,16,WARTORTLE,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1FviKH9Sx08RHz7pg8MZHNYeSFOFWAaZKIDhOUgWfq5U,https://docs.google.com/document/d/1FviKH9Sx08RHz7pg8MZHNYeSFOFWAaZKIDhOUgWfq5U/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
12,8,WARTORTLE,,Water,,405,59,63,80,65,80,58,142,,Water 1,Monster,2,36,BLASTOISE,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1keKU5NqLGWaLCZnG4JH8SqeChuaLBNCN015xfdNs6Nw,https://docs.google.com/document/d/1keKU5NqLGWaLCZnG4JH8SqeChuaLBNCN015xfdNs6Nw/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
13,9,BLASTOISE,,Water,,530,79,83,100,85,105,78,239,,Water 1,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1la_ZYxmYEYM8qB8L2qBjNT68Yf76I-QRjBSYVsBXlFw,https://docs.google.com/document/d/1la_ZYxmYEYM8qB8L2qBjNT68Yf76I-QRjBSYVsBXlFw/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
14,9,BLASTOISE,MEGA,Water,,630,79,103,120,135,115,78,284,,Water 1,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1YY7-k7fSijCEB8Gw2gEaFOY_iq4ooVNaajUn3a6Rg68,https://docs.google.com/document/d/1YY7-k7fSijCEB8Gw2gEaFOY_iq4ooVNaajUn3a6Rg68/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
15,10,CATERPIE,,Bug,,195,45,30,35,20,20,45,39,,Bug,,1,7,METAPOD,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1YX1gWnJMzqrK1ZvmDSHW0X1Qbm-PALRV2Zei11DKWIE,https://docs.google.com/document/d/1YX1gWnJMzqrK1ZvmDSHW0X1Qbm-PALRV2Zei11DKWIE/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
16,11,METAPOD,,Bug,,205,50,20,55,25,25,30,72,,Bug,,2,10,BUTTERFREE,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1h_GGGaADqPBOOhJywgilFsjQFjKeqpoK8pQa3o1JBIU,https://docs.google.com/document/d/1h_GGGaADqPBOOhJywgilFsjQFjKeqpoK8pQa3o1JBIU/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
17,12,BUTTERFREE,FEMALE,Bug,Flying,395,60,45,50,90,80,70,178,,Bug,,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),16O1sNiWAc3ghd-yfxcGrVTSSxQAWabJncSowTBnRhmo,https://docs.google.com/document/d/16O1sNiWAc3ghd-yfxcGrVTSSxQAWabJncSowTBnRhmo/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
18,12,BUTTERFREE,MALE,Bug,Flying,395,60,45,50,90,80,70,178,,Bug,,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1A8l7trm4ptC8eaW2k3TPf4ilFznEi6IOwIO9OUO7wL0,https://docs.google.com/document/d/1A8l7trm4ptC8eaW2k3TPf4ilFznEi6IOwIO9OUO7wL0/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
19,13,WEEDLE,,Bug,Poison,195,40,35,30,20,20,50,39,,Bug,,1,7,KAKUNA,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1bXrs9CnqThAgLJJ7ab0SUyCeqFqVotdD1s24fbsaRM4,https://docs.google.com/document/d/1bXrs9CnqThAgLJJ7ab0SUyCeqFqVotdD1s24fbsaRM4/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
20,14,KAKUNA,,Bug,Poison,205,45,25,50,25,25,35,72,,Bug,,2,10,BEEDRILL,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1Saknz2iSrASL9jeY5h0wuXiZqw5QSOpmQl4mYR_2pEw,https://docs.google.com/document/d/1Saknz2iSrASL9jeY5h0wuXiZqw5QSOpmQl4mYR_2pEw/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
21,15,BEEDRILL,,Bug,Poison,395,65,90,40,45,80,75,178,,Bug,,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1G5ohbnryhPcZCsOrUmlH8HvLNrrRPVqmYhZncNCKUJQ,https://docs.google.com/document/d/1G5ohbnryhPcZCsOrUmlH8HvLNrrRPVqmYhZncNCKUJQ/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
22,15,BEEDRILL,MEGA,Bug,Poison,495,65,150,40,15,80,145,223,,Bug,,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),15pyG-Z-JX8VJBb9fNqHNpMpHfGe4PLkuYFjUeSbJzC4,https://docs.google.com/document/d/15pyG-Z-JX8VJBb9fNqHNpMpHfGe4PLkuYFjUeSbJzC4/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
23,16,PIDGEY,,Normal,Flying,251,40,45,40,35,35,56,50,,Flying,,1,18,PIDGEOTTO,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1KYHGu-xaI4dX08HZzvs3EjDJqr1R6RodwE8bLvkYdMM,https://docs.google.com/document/d/1KYHGu-xaI4dX08HZzvs3EjDJqr1R6RodwE8bLvkYdMM/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
24,17,PIDGEOTTO,,Normal,Flying,349,63,60,55,50,50,71,122,,Flying,,2,36,PIDGEOT,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1Tc3-GRFbE7QVlPLTEuFDlOYUVENrTniqkBw4N4bXqGE,https://docs.google.com/document/d/1Tc3-GRFbE7QVlPLTEuFDlOYUVENrTniqkBw4N4bXqGE/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
25,18,PIDGEOT,,Normal,Flying,479,83,80,75,70,70,101,216,,Flying,,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1IEHaKkAmtydK-f1btrLd5SSdWdwZIJZ12zsCwLRFGwM,https://docs.google.com/document/d/1IEHaKkAmtydK-f1btrLd5SSdWdwZIJZ12zsCwLRFGwM/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
26,18,PIDGEOT,MEGA,Normal,Flying,579,83,80,80,135,80,121,261,,Flying,,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),18ECNW1iOaZ2W2ITxryA4RLe364OQ4R5pY-f1V0U3r5E,https://docs.google.com/document/d/18ECNW1iOaZ2W2ITxryA4RLe364OQ4R5pY-f1V0U3r5E/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
27,19,RATTATA,FEMALE,Normal,,253,30,56,35,25,35,72,51,,Field,,1,20,RATICATE,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1WxQOXWFaO2HKiRgZaRfRdI-96J485WvKURihW2-CJ5I,https://docs.google.com/document/d/1WxQOXWFaO2HKiRgZaRfRdI-96J485WvKURihW2-CJ5I/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
28,19,RATTATA,MALE,Normal,,253,30,56,35,25,35,72,51,,Field,,1,20,RATICATE,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1cO3Z7PphKCzIhMWnyFkpwIQ5Slh8Bp4hvbGvqItmHvc,https://docs.google.com/document/d/1cO3Z7PphKCzIhMWnyFkpwIQ5Slh8Bp4hvbGvqItmHvc/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:10 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
29,19,RATTATA,ALOLAN,Dark,Normal,253,30,56,35,25,35,72,51,,Field,,1,20,RATICATE,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1NNtw4mAD1VyCpyPW58iIM-oKRCVbII7-IC3XospmJ5E,https://docs.google.com/document/d/1NNtw4mAD1VyCpyPW58iIM-oKRCVbII7-IC3XospmJ5E/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:11 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
30,20,RATICATE,FEMALE,Normal,,413,55,81,60,50,70,97,145,,Field,,2,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1vZkHeXHIZC4Yl-2kPTK6RkEa5f1k7a88fbHZztFdpiQ,https://docs.google.com/document/d/1vZkHeXHIZC4Yl-2kPTK6RkEa5f1k7a88fbHZztFdpiQ/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:11 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
